model,dataset,n,p,density,Blitz,Celer,Hessian,Working
Least-Squares,bcTCGA,536,17322,1,11.65608532595,10.6036847887,2.9979331794,7.670646369
Least-Squares,e2006-log1p,16087,4272227,0.0014074729668371701,756.1784895626668,835.2615145166667,204.55124124900001,437.7727291763333
Least-Squares,e2006-tfidf,16087,150360,0.00825643866543507,277.21158294,335.423959732,14.338295507,142.90744823666665
Least-Squares,scheetz,120,18975,1,0.7055065023,0.8014420277500001,0.36854713605,0.64268886265
Least-Squares,YearPredictionMSD,463715,90,1,705.532077243,712.4972603193333,78.832981465,540.5093832406667
