model,dataset,n,p,density,Blitz,Celer,Hessian,Working
Logistic,arcene,100,10000,0.540941,4.4214268859,3.9860919448,4.35061745255,3.26726875845
Logistic,colon-cancer,62,2000,1,0.1770310419,0.1692687687,0.05417517225,0.13411334445
Logistic,duke-cancer,44,7129,1,0.25054113275,0.26208145465,0.11114665685,0.21036537285
Logistic,ijcnn1,35000,22,1,4.6764072737,3.5000986726,0.9386123315,5.5255570146499995
Logistic,madelon,2000,500,1,240.34722160266665,246.95739317099998,48.15598953133333,232.10597005866668
Logistic,news20,19996,1355191,3.3573628909834254e-4,2233.2898565933333,2169.0333810740003,1292.4141244513332,1622.1334480676667
Logistic,rcv1,20242,47236,0.0015676936220516574,383.746475742,378.35876256,132.006092409,266.2671505736667
