"","start","end","downloads","package"
"103",2021-04-01,2021-04-30,687,"SLOPE"
"104",2021-05-01,2021-05-31,672,"SLOPE"
"105",2021-06-01,2021-06-30,510,"SLOPE"
"106",2021-07-01,2021-07-31,555,"SLOPE"
"107",2021-08-01,2021-08-31,602,"SLOPE"
"108",2021-09-01,2021-09-30,491,"SLOPE"
"109",2021-10-01,2021-10-31,694,"SLOPE"
"110",2021-11-01,2021-11-30,822,"SLOPE"
"111",2021-12-01,2021-12-31,651,"SLOPE"
"112",2022-01-01,2022-01-31,401,"SLOPE"
"113",2022-02-01,2022-02-28,471,"SLOPE"
"114",2022-03-01,2022-03-31,780,"SLOPE"
"115",2022-04-01,2022-04-30,561,"SLOPE"
"116",2022-05-01,2022-05-31,543,"SLOPE"
"117",2022-06-01,2022-06-30,588,"SLOPE"
"118",2022-07-01,2022-07-31,537,"SLOPE"
"119",2022-08-01,2022-08-31,512,"SLOPE"
"120",2022-09-01,2022-09-30,438,"SLOPE"
"121",2022-10-01,2022-10-31,422,"SLOPE"
"122",2022-11-01,2022-11-30,400,"SLOPE"
"123",2022-12-01,2022-12-31,239,"SLOPE"
"124",2023-01-01,2023-01-31,292,"SLOPE"
"125",2023-02-01,2023-02-28,266,"SLOPE"
"126",2023-03-01,2023-03-29,356,"SLOPE"
