dataset,n,p,density,GapSafe,Hessian,Working,EDPP
arcene,100,10000,0.540941,10.527551846500002,7.950989053666667,7.1034811485,NA
colon-cancer,62,2000,1,0.44796071550000005,0.188039344,0.35863955750000004,NA
duke-breast-cancer,44,7129,1,0.49328293349999996,0.1960320995,0.38269012474999997,NA
ijcnn1,35000,22,1,28.922423961,9.854972909999999,28.779422064333332,NA
madelon,2000,500,1,619.40255877,93.984371756,579.4148835725,NA
news20,19996,1355191,3.3573628909834254e-4,32775.332865021,1742.9030965745,2285.9252408845,NA
rcv1,20242,47236,0.0015676936220516574,944.673845647,525.9530580025,383.205802137,NA
